AR;alder;Kon;inc_cvd;inc_ccr
2011;100;2;144;19
2012;5;1;0;7
2012;5;2;0;9
2012;6;1;0;10
2012;6;2;0;5
2012;7;1;0;8
2012;7;2;0;4
2012;8;1;0;11
2012;8;2;0;6
2012;9;1;1;9
2012;9;2;0;7
2012;10;1;0;4
2012;10;2;1;3
2012;11;1;0;4
2012;11;2;0;7
2012;12;1;0;4
2012;12;2;0;3
2012;13;1;1;5
2012;13;2;0;7
2012;14;1;0;10
2012;14;2;0;12
2012;15;1;0;6
2012;15;2;1;6
2012;16;1;0;19
2012;16;2;1;8
2012;17;1;2;7
2012;17;2;1;15
2012;18;1;0;21
2012;18;2;0;18
2012;19;1;0;24
2012;19;2;0;10
2012;20;1;129;20
2012;20;2;86;20
2012;21;1;126;25
2012;21;2;98;22
2012;22;1;143;24
2012;22;2;106;18
2012;23;1;122;23
2012;23;2;108;39
2012;24;1;107;19
2012;24;2;101;34
2012;25;1;113;24
2012;25;2;117;39
2012;26;1;127;30
2012;26;2;100;41
2012;27;1;90;32
2012;27;2;72;41
2012;28;1;113;29
2012;28;2;109;39
2012;29;1;111;41
2012;29;2;102;42
2012;30;1;137;36
2012;30;2;114;71
2012;31;1;119;35
2012;31;2;109;56
2012;32;1;125;39
2012;32;2;113;83
2012;33;1;130;42
2012;33;2;136;53
2012;34;1;125;48
2012;34;2;125;81
2012;35;1;156;42
2012;35;2;134;79
2012;36;1;177;64
2012;36;2;163;94
2012;37;1;162;52
2012;37;2;134;92
2012;38;1;204;73
2012;38;2;176;138
2012;39;1;220;70
2012;39;2;170;132
2012;40;1;230;78
2012;40;2;167;142
2012;41;1;276;79
2012;41;2;178;136
2012;42;1;281;86
2012;42;2;197;147
2012;43;1;286;93
2012;43;2;215;147
2012;44;1;358;101
2012;44;2;236;201
2012;45;1;382;96
2012;45;2;268;220
2012;46;1;423;103
2012;46;2;264;256
2012;47;1;482;129
2012;47;2;294;296
2012;48;1;551;147
2012;48;2;314;310
2012;49;1;553;163
2012;49;2;364;278
2012;50;1;535;170
2012;50;2;341;309
2012;51;1;598;227
2012;51;2;337;330
2012;52;1;641;227
2012;52;2;393;313
2012;53;1;707;232
2012;53;2;391;344
2012;54;1;811;291
2012;54;2;427;359
2012;55;1;803;324
2012;55;2;451;363
2012;56;1;938;349
2012;56;2;512;378
2012;57;1;986;371
2012;57;2;540;398
2012;58;1;1011;442
2012;58;2;563;422
2012;59;1;1075;489
2012;59;2;623;452
2012;60;1;1240;554
2012;60;2;700;506
2012;61;1;1251;596
2012;61;2;755;523
2012;62;1;1451;714
2012;62;2;789;620
2012;63;1;1589;747
2012;63;2;944;644
2012;64;1;1679;901
2012;64;2;1082;733
2012;65;1;2076;972
2012;65;2;1101;762
2012;66;1;2032;1100
2012;66;2;1160;837
2012;67;1;2019;1117
2012;67;2;1262;816
